"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
127,1,2,3,2,2,1,1,1,2
27,4,2,3,2,4,4,2,2,2
60,4,2,3,2,2,1,3,2,2
125,6,2,3,2,2,1,1,2,1
86,6,2,3,2,2,1,2,3,2
109,1,3,3,2,3,2,1,2,1
109,1,3,3,2,3,2,1,2,1
72,5,2,3,2,1,1,1,1,1
72,5,2,3,2,1,1,2,2,1
40,5,2,3,2,2,2,2,1,1
72,5,2,3,2,2,1,2,3,1
102,5,2,3,2,1,2,3,3,1
4,5,2,3,2,1,2,2,2,1
4,5,2,3,2,2,1,2,2,1
41,5,2,3,2,2,1,3,3,1
72,5,2,3,2,1,1,3,3,2
40,5,2,3,2,2,2,3,3,2
40,5,2,3,2,1,1,2,3,1
40,5,2,3,2,2,2,1,1,1
72,5,2,3,2,2,2,2,2,2
40,5,2,3,2,4,4,3,2,2
53,1,1,3,2,2,2,2,2,2
81,2,3,3,2,2,2,3,3,3
111,3,2,1,2,3,2,3,3,3
120,3,2,1,2,3,2,3,3,3
115,3,2,1,2,2,2,1,2,3
111,3,2,1,2,3,2,3,3,3
9,3,2,1,2,1,2,3,3,3
47,3,2,1,2,1,1,1,1,1
111,3,2,1,2,2,1,2,2,1
47,3,2,1,2,2,2,3,3,1
115,3,2,1,2,1,2,2,1,1
128,3,2,1,2,2,2,4,2,1
111,3,2,1,2,2,1,1,1,1
126,3,2,1,2,2,1,4,4,4
128,3,2,1,2,2,1,2,2,2
115,3,2,1,2,2,2,2,3,2
126,3,2,1,2,2,2,3,2,2
58,4,3,3,2,3,1,2,2,1
27,4,3,3,2,2,2,2,3,2
109,1,2,1,2,2,2,3,3,3
109,1,2,1,2,3,2,3,3,3
17,1,2,1,2,1,2,4,2,3
83,1,2,1,2,2,2,2,2,1
116,1,2,1,2,2,1,2,1,1
94,1,2,1,2,3,2,1,2,1
14,1,2,1,2,1,1,2,2,1
14,1,2,1,2,1,1,1,2,1
109,1,2,1,2,1,2,2,3,1
112,1,2,1,2,2,2,1,1,1
70,1,2,1,2,2,1,4,2,1
3,1,2,1,2,3,2,3,2,2
114,1,2,1,2,3,2,3,3,2
109,1,2,1,2,1,2,3,2,2
14,1,2,1,2,3,1,2,2,2
112,1,2,1,2,2,2,3,3,2
124,1,2,1,2,2,2,3,3,2
116,1,2,1,2,3,1,4,4,2
112,1,2,1,2,3,3,3,2,2
87,6,3,3,2,2,2,3,2,2
57,6,3,3,2,3,4,3,3,2
12,2,1,3,2,3,2,2,2,2
60,4,1,3,2,2,2,1,2,1
60,4,1,3,2,2,1,3,3,1
60,4,1,3,2,2,2,2,3,2
106,4,1,3,2,2,1,1,2,1
27,4,1,3,2,3,4,3,3,2
118,4,1,3,2,2,1,3,2,2
87,6,1,3,2,1,1,3,3,2
98,6,1,3,2,1,1,3,4,2
