"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
75,2,3,1,1,2,3,4,4,4,4
127,1,3,1,2,2,1,2,3,2,1
40,5,3,1,1,2,1,1,2,2,1
40,5,3,4,1,2,3,2,3,1,3
46,2,4,1,1,2,3,1,3,2,3
94,1,3,1,1,2,3,3,4,1,2
40,5,3,1,1,2,1,2,1,1,1
8,5,2,1,1,2,3,1,3,3,3
116,1,3,1,2,2,1,2,1,1,1
40,5,4,3,2,2,2,2,3,1,1
43,1,2,1,1,2,2,2,1,1,4
4,5,3,1,2,2,1,1,1,1,1
124,1,2,1,1,2,1,2,1,2,1
3,1,3,1,1,2,2,3,1,2,1
119,5,3,1,2,2,3,3,2,3,1
124,1,1,1,2,2,3,1,2,3,1
132,1,3,2,1,2,1,1,1,1,1
72,5,2,3,2,2,2,2,1,1,1
50,1,3,1,2,2,1,1,1,1,1
109,1,3,1,1,2,1,2,1,4,1
8,5,3,1,2,2,1,2,3,2,2
42,5,3,1,2,2,1,1,1,2,1
4,5,2,1,2,2,2,3,3,3,3
40,5,3,1,1,2,1,2,2,2,1
8,5,3,1,1,2,2,2,4,2,2
40,5,4,1,1,2,1,2,2,1,1
102,5,1,3,2,2,3,2,3,2,3
4,5,3,1,1,2,1,1,1,2,2
40,5,1,3,1,2,2,2,1,2,2
40,5,3,1,2,2,3,1,1,2,1
108,1,2,1,1,2,1,1,2,1,1
118,4,1,1,2,2,2,2,1,1,1
112,1,3,1,2,2,3,4,2,3,3
77,5,1,1,1,2,1,1,2,1,3
108,1,3,1,1,2,2,2,2,3,1
111,3,1,3,2,2,3,2,3,1,1
60,4,3,1,2,2,1,1,2,1,1
8,5,2,1,1,2,3,1,3,3,2
93,3,4,1,2,2,1,2,2,3,1
102,5,2,4,2,2,1,2,1,1,1
83,1,4,1,2,2,2,3,3,3,1
2,4,3,1,1,2,3,2,2,2,2
4,5,2,2,2,2,2,1,2,3,3
33,4,3,1,1,2,1,1,1,4,1
4,5,4,1,2,2,3,2,1,1,2
4,5,3,3,1,2,2,1,1,1,3
50,1,4,1,1,2,1,1,1,1,1
72,5,2,1,1,2,1,1,2,1,1
72,5,3,1,2,2,3,2,2,2,3
27,4,2,4,1,2,1,1,1,1,1
4,5,5,4,1,2,2,2,2,1,1
40,5,2,1,2,2,2,2,2,3,1
72,5,2,1,2,2,1,1,1,1,1
72,5,3,1,2,2,2,1,2,2,1
42,5,4,1,1,2,1,1,2,2,1
130,4,2,1,1,2,2,2,1,1,1
131,3,3,1,2,2,3,1,2,2,1
102,5,2,2,1,2,1,2,2,1,1
106,4,2,4,2,2,1,2,3,2,2
8,5,3,1,1,2,2,1,3,2,1
58,4,4,1,1,2,3,2,2,1,1
60,4,2,2,2,2,1,1,2,1,1
8,5,2,1,1,2,2,2,2,1,1
11,2,2,1,2,2,1,1,2,2,1
102,5,4,1,1,2,1,2,1,1,1
31,1,3,2,1,2,1,1,1,1,1
60,4,3,3,1,2,1,1,3,2,2
132,1,3,1,1,2,1,1,1,1,1
52,4,3,1,1,2,2,2,1,1,1
39,5,3,1,2,2,1,1,1,1,1
60,4,4,4,1,2,1,3,2,2,1
40,5,2,1,2,2,3,3,2,3,3
108,1,3,1,2,2,1,4,3,3,1
70,1,1,2,2,2,3,2,2,3,4
40,5,1,2,2,2,1,1,2,2,1
92,4,4,2,1,2,2,2,4,4,2
27,4,4,2,1,2,2,2,1,1,1
106,4,3,1,1,2,3,1,3,1,2
128,3,3,1,1,2,1,1,1,2,4
40,5,5,4,2,2,2,1,3,3,1
119,5,4,1,1,2,2,1,1,1,1
29,4,2,2,2,2,1,1,1,1,2
9,3,4,1,2,2,2,2,1,3,3
102,5,3,2,1,2,1,1,2,1,1
131,3,3,1,2,2,1,1,2,1,1
40,5,2,1,2,2,1,2,2,3,1
72,5,3,1,1,2,1,1,2,2,1
40,5,4,1,2,2,2,2,3,2,2
102,5,3,2,1,2,3,4,4,4,2
54,4,1,1,2,2,2,3,1,1,1
20,2,1,1,1,2,2,4,2,1,4
40,5,3,1,2,2,2,2,2,3,1
60,4,2,1,1,2,1,1,2,1,4
40,5,3,3,1,2,3,1,3,3,1
40,5,1,3,2,2,2,4,4,1,1
27,4,3,1,1,2,1,1,1,1,1
105,4,1,3,1,2,2,2,4,2,3
105,4,2,1,2,2,2,1,3,2,2
58,4,3,1,1,2,2,1,1,1,1
72,5,3,1,1,2,2,2,1,3,1
119,5,3,1,1,2,2,1,1,2,1
111,3,3,1,2,2,1,1,1,2,3
44,4,1,1,1,2,1,2,1,3,1
40,5,4,1,1,2,2,2,2,3,4
8,5,3,1,2,2,2,4,1,1,2
58,4,4,3,1,2,2,2,1,2,1
105,4,4,1,1,2,3,3,3,3,4
64,6,3,1,1,2,1,1,1,1,3
105,4,3,1,2,2,1,2,2,3,1
106,4,4,1,2,2,3,2,3,3,1
20,2,3,1,1,2,1,1,1,1,1
52,4,3,1,1,2,2,2,1,1,1
106,4,4,1,1,2,1,1,1,3,1
102,5,2,1,2,2,1,2,3,3,1
125,6,2,3,2,2,1,3,1,2,3
106,4,1,2,1,2,1,1,1,2,2
117,2,3,2,1,2,3,3,1,1,3
87,6,3,2,2,2,1,2,2,2,2
57,6,2,2,2,2,1,1,3,3,1
87,6,2,1,2,2,2,2,3,3,1
125,6,3,1,1,2,2,2,1,3,1
26,6,3,1,2,2,1,1,1,1,1
57,6,3,1,1,2,2,2,2,1,3
57,6,1,1,1,2,1,2,4,4,1
