"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
121,2,3,1,1,2,1,1,1,1,1
27,4,2,4,1,2,1,2,1,1,1
87,6,1,1,2,2,2,3,3,3,1
40,5,4,1,2,2,2,3,2,1,2
9,3,4,1,2,2,1,2,3,2,1
72,5,1,3,2,2,3,2,3,3,3
132,1,3,1,2,2,2,1,1,2,4
50,1,3,1,1,2,3,2,1,2,2
125,6,3,2,1,2,2,1,2,2,1
86,6,3,3,2,2,2,2,1,1,1
109,1,2,1,1,2,1,2,2,3,1
57,6,2,1,2,2,2,3,4,3,1
117,2,4,1,1,2,2,2,3,1,1
108,1,2,1,2,2,3,1,2,2,2
9,3,4,1,1,2,2,2,3,2,1
40,5,3,3,1,2,2,1,2,2,2
131,3,3,1,2,2,2,2,1,1,1
9,3,2,1,1,2,2,2,3,3,4
87,6,3,2,1,2,1,2,1,2,1
32,4,2,1,2,2,2,1,2,2,3
40,5,3,1,1,2,1,1,1,1,1
52,4,3,1,2,2,1,1,1,2,1
39,5,3,1,2,2,3,2,2,1,3
27,4,3,1,1,2,1,1,1,1,1
109,1,4,2,1,2,1,2,3,2,2
61,2,4,2,1,2,4,2,2,1,2
102,5,2,1,2,2,1,1,1,1,2
40,5,4,4,1,2,1,1,1,2,1
102,5,1,3,1,2,1,1,3,2,1
40,5,4,1,2,2,2,2,1,1,1
123,6,2,1,2,2,1,2,2,2,2
57,6,2,3,1,2,2,1,1,3,2
40,5,2,1,2,2,2,2,3,2,1
102,5,3,1,1,2,1,2,1,1,1
1,6,1,1,1,2,3,1,3,2,2
125,6,4,1,2,2,2,1,2,2,3
40,5,4,1,2,2,2,4,3,3,2
130,4,3,3,2,2,1,1,1,3,1
77,5,2,1,1,2,3,1,3,2,2
26,6,4,2,2,2,2,1,3,1,3
61,2,4,1,2,2,3,3,2,2,1
132,1,2,1,1,2,2,2,2,3,1
86,6,4,1,1,2,1,1,2,2,1
40,5,2,3,1,2,1,2,2,2,2
72,5,3,1,2,2,1,1,1,2,2
105,4,3,3,1,2,1,2,1,1,1
61,2,3,1,1,2,1,1,1,1,1
86,6,1,2,1,2,3,1,1,2,3
40,5,4,3,1,2,2,2,1,1,4
125,6,3,1,1,2,2,1,1,1,2
38,6,4,1,2,2,2,2,1,2,1
125,6,1,1,2,2,1,1,2,2,3
41,5,3,1,2,2,2,2,2,3,3
124,1,1,1,2,2,1,2,2,3,1
8,5,2,1,1,2,3,1,1,1,2
42,5,4,1,2,2,1,1,1,1,1
89,6,1,1,1,2,3,3,3,2,2
86,6,3,2,2,2,1,1,1,2,2
102,5,3,1,2,2,3,3,2,2,3
40,5,2,1,2,2,1,2,1,3,2
26,6,1,1,1,2,2,1,1,2,2
40,5,1,1,1,2,1,1,2,2,2
40,5,3,1,1,2,1,1,3,2,1
57,6,3,2,2,2,2,2,3,3,1
72,5,2,1,1,2,1,1,1,2,1
11,2,4,1,1,2,1,2,1,1,1
47,3,4,1,2,2,2,2,1,1,2
71,3,4,1,2,2,3,3,2,2,2
101,6,3,1,2,2,1,1,1,1,1
108,1,1,1,2,2,2,1,2,2,2
4,5,2,1,1,2,1,1,1,1,4
78,5,3,1,2,2,2,2,3,3,1
60,4,3,1,2,2,1,2,2,3,2
72,5,2,1,1,2,2,2,1,3,1
25,4,4,1,1,2,2,1,2,3,1
125,6,3,3,1,2,3,1,1,2,3
58,4,3,1,1,2,1,1,1,2,2
102,5,4,3,2,2,2,4,2,3,1
40,5,4,1,2,2,1,1,1,2,4
125,6,4,1,1,2,1,1,1,1,1
60,4,3,1,2,2,1,1,1,1,1
124,1,3,1,2,2,1,2,2,2,1
72,5,1,2,1,2,1,1,1,1,1
96,2,2,1,1,2,1,1,1,1,1
46,2,3,1,1,2,2,1,1,1,1
27,4,1,1,1,2,1,1,2,1,1
27,4,2,1,2,2,2,1,2,2,1
86,6,3,1,1,2,1,2,3,2,1
102,5,1,3,2,2,1,1,3,3,1
41,5,3,4,1,2,3,1,2,3,3
4,5,4,1,2,2,2,2,2,2,3
8,5,3,1,1,2,1,1,3,3,1
125,6,2,1,2,2,1,2,1,3,3
72,5,3,1,2,2,2,2,2,3,1
108,1,2,1,1,2,1,1,1,1,1
121,2,2,2,1,2,1,2,1,4,1
87,6,4,2,2,2,1,1,4,2,1
123,6,3,2,1,2,2,3,1,1,2
113,1,3,1,1,2,1,2,2,1,1
109,1,4,1,1,2,1,3,3,2,1
127,1,4,1,1,2,2,2,3,2,2
59,3,1,1,1,2,1,1,1,1,1
46,2,4,1,1,2,4,1,1,3,2
102,5,2,1,1,2,1,1,1,3,1
104,1,1,1,1,2,3,2,3,2,3
60,4,3,1,2,2,3,4,3,3,1
125,6,4,1,1,2,1,1,1,1,1
72,5,3,3,2,2,2,2,3,2,2
119,5,3,1,1,2,1,1,1,1,1
26,6,4,1,2,2,3,2,1,2,3
115,3,3,1,1,2,1,1,1,1,2
44,4,2,1,1,2,1,1,2,1,2
