"Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM","COUNTY_PY","REGION_PY","GENDER_RECODE","RACE_RECODE","AGE_RECODE"
2,3,2,3,2,2,NA,7,1,1,4
2,2,3,2,2,2,NA,7,1,1,4
1,2,2,3,2,2,NA,7,2,1,4
1,1,1,1,1,1,NA,7,1,1,3
2,3,2,1,1,1,NA,7,1,1,3
3,2,2,1,2,1,NA,7,2,1,3
1,2,3,3,2,2,NA,7,2,1,3
1,2,2,3,2,2,NA,7,2,1,3
2,2,2,2,3,1,NA,7,1,2,3
2,3,3,3,3,3,NA,7,1,2,3
2,2,2,2,2,2,NA,7,2,2,3
1,2,1,1,2,1,NA,7,2,4,3
1,3,2,1,2,1,NA,7,1,1,2
2,1,1,1,1,2,NA,7,1,1,2
1,2,1,1,2,2,NA,7,2,1,2
2,1,2,3,2,1,NA,7,2,1,2
2,1,2,3,3,1,NA,7,2,2,2
2,3,2,1,2,1,NA,7,1,4,2
2,1,1,1,1,1,NA,7,1,4,2
2,3,3,3,2,2,NA,7,2,4,2
1,2,2,2,2,2,NA,7,2,4,2
1,2,2,1,1,1,NA,7,1,1,1
2,1,1,1,1,1,NA,7,1,1,1
2,3,1,3,2,2,NA,7,1,1,1
2,2,2,2,2,1,NA,7,1,1,1
2,1,1,1,1,1,NA,7,1,1,1
2,2,1,2,3,1,NA,7,2,1,1
1,2,2,2,1,1,NA,7,2,1,1
2,2,2,2,3,2,NA,7,2,3,1
1,1,1,1,1,1,NA,7,1,4,1
2,1,2,2,3,1,NA,7,2,4,1
1,3,3,3,2,2,17,1,1,1,4
1,2,2,2,2,2,22,1,1,1,4
1,2,2,1,1,2,70,1,1,1,4
1,2,2,1,2,1,17,1,1,1,4
2,2,2,1,1,2,14,1,1,1,4
1,1,1,1,1,1,83,1,1,1,4
1,1,1,1,1,1,112,1,2,1,4
1,2,1,1,1,2,124,1,2,1,4
1,1,3,1,2,3,116,1,2,1,4
1,1,2,2,2,1,112,1,2,1,4
1,2,2,2,2,2,132,1,2,1,4
1,2,3,3,2,2,70,1,2,1,4
1,2,3,3,3,3,15,1,2,1,4
1,2,1,3,3,1,94,1,2,1,4
1,2,1,2,2,2,113,1,2,1,4
1,2,2,2,2,2,113,1,2,1,4
1,2,2,2,2,2,104,1,2,1,4
2,2,2,3,3,3,14,1,2,1,4
1,3,3,3,3,3,108,1,2,1,4
1,1,2,1,2,3,108,1,1,2,4
2,2,1,1,1,1,133,1,1,1,3
1,2,2,1,1,1,116,1,1,1,3
1,3,1,2,2,3,127,1,1,1,3
1,2,1,1,1,1,127,1,1,1,3
2,2,2,1,1,1,133,1,1,1,3
2,2,2,1,1,1,133,1,1,1,3
2,2,2,3,3,3,132,1,1,1,3
1,1,1,1,1,1,132,1,1,1,3
1,2,2,1,1,2,70,1,1,1,3
1,2,2,2,3,1,35,1,1,1,3
2,2,1,3,2,1,132,1,1,1,3
1,2,2,1,1,1,15,1,1,1,3
1,2,1,1,1,1,83,1,1,1,3
1,1,1,2,1,1,112,1,2,1,3
2,2,2,2,2,3,124,1,2,1,3
2,3,3,3,2,2,124,1,2,1,3
1,2,2,3,2,1,116,1,2,1,3
1,2,2,3,3,3,116,1,2,1,3
1,1,1,1,1,1,70,1,2,1,3
1,1,2,1,2,1,114,1,2,1,3
2,2,1,3,2,2,112,1,2,1,3
1,3,3,3,3,3,112,1,2,1,3
1,3,2,1,1,1,35,1,2,1,3
1,2,2,3,2,2,132,1,2,1,3
1,2,2,3,3,2,113,1,2,1,3
1,2,1,3,2,3,83,1,2,1,3
2,1,2,1,1,1,83,1,2,1,3
1,3,1,3,3,3,108,1,2,1,3
1,2,1,2,1,1,108,1,1,2,3
1,3,3,3,3,2,108,1,2,2,3
1,2,2,2,2,1,108,1,2,2,3
2,2,2,2,1,1,35,1,1,3,3
1,2,3,3,2,2,3,1,1,4,3
2,3,2,2,2,1,108,1,2,4,3
1,2,2,2,3,3,53,1,1,1,2
2,1,1,1,2,1,127,1,1,1,2
1,3,2,1,2,2,70,1,1,1,2
2,2,2,1,1,1,50,1,1,1,2
2,1,1,1,1,1,83,1,1,1,2
2,2,2,2,3,2,116,1,2,1,2
1,2,2,1,1,2,22,1,2,1,2
2,1,2,2,3,3,109,1,2,1,2
2,3,3,3,2,3,113,1,2,1,2
1,2,2,3,2,2,108,1,2,1,2
2,2,2,1,1,2,94,1,1,2,2
2,1,1,1,1,1,108,1,2,2,2
2,1,1,1,1,1,108,1,2,2,2
2,3,2,2,2,2,109,1,2,4,2
1,3,1,1,1,1,124,1,1,1,1
2,3,1,2,3,3,133,1,1,1,1
2,2,1,1,1,1,53,1,1,1,1
3,3,2,3,1,3,108,1,1,1,1
1,2,2,2,3,2,83,1,2,1,1
1,3,2,3,2,1,43,1,2,1,1
2,2,2,2,2,1,109,1,2,1,1
2,2,1,1,1,1,108,1,1,2,1
2,1,1,1,3,3,103,1,1,3,1
3,2,1,2,2,2,12,2,1,1,4
3,1,1,2,3,1,75,2,1,1,4
3,1,1,1,1,1,75,2,1,1,4
1,2,1,2,1,1,12,2,1,1,4
2,2,3,3,3,2,79,2,1,1,4
1,3,2,3,3,2,81,2,1,1,4
1,2,2,3,2,1,36,2,1,1,4
3,2,2,2,1,2,96,2,2,1,4
3,2,2,3,2,1,12,2,2,1,4
3,1,2,3,3,2,12,2,2,1,4
3,1,2,1,1,2,34,2,2,1,4
3,3,1,1,1,1,75,2,2,1,4
2,2,2,2,3,2,46,2,2,1,4
1,2,2,2,3,2,61,2,2,1,4
1,1,1,1,1,2,81,2,2,1,4
1,3,2,1,2,1,36,2,2,1,4
1,1,2,2,2,2,121,2,2,1,4
3,1,2,2,2,2,56,2,1,2,4
3,2,1,1,2,1,56,2,2,2,4
3,2,3,3,2,2,75,2,2,2,4
3,2,2,3,3,2,75,2,2,2,4
2,1,1,2,2,1,37,2,2,2,4
2,1,1,1,1,1,81,2,1,4,4
3,2,1,3,3,3,56,2,2,4,4
3,2,2,1,1,3,34,2,1,1,3
2,2,2,3,3,2,46,2,1,1,3
2,1,2,1,1,1,24,2,1,1,3
3,1,1,1,1,1,56,2,2,1,3
3,1,1,1,1,1,12,2,2,1,3
3,2,2,3,3,2,96,2,2,1,3
2,3,2,3,2,3,34,2,2,1,3
3,3,2,1,1,1,75,2,2,1,3
1,2,1,2,3,3,79,2,2,1,3
2,1,2,2,1,1,12,2,2,1,3
2,2,3,3,3,3,46,2,2,1,3
2,2,2,3,3,3,46,2,2,1,3
1,3,2,2,2,1,61,2,2,1,3
2,1,1,2,3,1,56,2,1,2,3
