"Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM","COUNTY_PY","REGION_PY","GENDER_RECODE","RACE_RECODE","AGE_RECODE"
2,4,4,1,1,1,106,4,1,4,5
1,1,1,1,1,1,9,3,1,1,5
2,1,1,1,1,1,57,6,1,1,5
2,1,2,1,1,1,NA,7,1,1,1
2,2,2,1,3,2,108,1,1,1,1
2,1,1,1,1,1,70,1,1,1,1
2,3,2,1,1,1,133,1,1,1,1
2,1,1,1,4,4,116,1,1,1,1
2,2,2,2,2,1,124,1,1,1,1
2,2,2,1,1,1,79,2,1,1,1
2,1,1,1,1,1,59,3,1,1,1
1,1,2,2,2,1,21,4,1,1,1
1,2,1,1,1,1,102,5,1,1,1
1,1,1,3,3,3,42,5,1,1,1
2,1,1,1,1,1,42,5,1,1,1
2,1,1,1,1,1,87,6,1,1,1
1,1,2,1,3,1,NA,7,1,1,2
2,2,1,3,2,3,NA,7,1,1,2
1,1,1,1,1,1,108,1,1,1,2
2,1,3,3,3,3,31,1,1,1,2
2,2,2,2,3,3,104,1,1,1,2
2,3,1,1,1,3,83,1,1,1,2
2,3,1,1,1,1,70,1,1,1,2
2,2,1,1,3,1,112,1,1,1,2
2,3,1,3,2,1,90,1,1,1,2
2,2,2,2,3,3,49,1,1,1,2
1,2,2,2,3,2,124,1,1,1,2
2,2,2,2,3,1,117,2,1,1,2
2,2,1,2,2,1,34,2,1,1,2
1,2,3,3,3,3,47,3,1,1,2
1,2,2,2,3,3,6,3,1,1,2
2,1,3,3,2,3,21,4,1,1,2
2,2,2,3,3,3,76,4,1,1,2
2,2,2,1,1,1,2,4,1,1,2
2,2,2,2,1,3,5,4,1,1,2
2,3,3,3,3,1,58,4,1,1,2
1,2,3,1,1,1,130,4,1,1,2
2,3,1,2,2,2,106,4,1,1,2
2,2,1,1,1,1,95,4,1,1,2
1,3,2,3,2,2,27,4,1,1,2
1,3,3,3,2,2,72,5,1,1,2
2,2,2,2,2,3,72,5,1,1,2
2,3,2,2,2,1,40,5,1,1,2
2,3,2,2,2,2,119,5,1,1,2
2,2,2,2,2,1,51,6,1,1,2
2,2,1,2,2,3,87,6,1,1,2
2,1,1,2,3,1,57,6,1,1,2
2,1,1,1,2,1,NA,7,1,1,3
2,1,2,2,2,3,108,1,1,1,3
2,3,2,3,3,1,83,1,1,1,3
2,2,3,3,2,1,109,1,1,1,3
1,1,2,1,3,1,116,1,1,1,3
1,2,3,3,2,2,133,1,1,1,3
2,1,2,2,2,3,124,1,1,1,3
2,2,1,1,1,1,124,1,1,1,3
2,2,2,1,1,1,12,2,1,1,3
2,1,1,1,1,1,79,2,1,1,3
1,3,3,3,2,2,20,2,1,1,3
1,2,2,2,2,2,28,3,1,1,3
